step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
239,2.39,5.79252,-0.431281,5.73322,-0.138096,-0.566417
240,2.4,5.68761,-0.42689,5.72299,-0.16021,-0.564289
241,2.41,5.67722,-0.41825,5.71256,-0.182295,-0.562141
242,2.42,5.72358,-0.432252,5.71331,-0.17587,-0.562537
243,2.43,5.62157,-0.462266,5.69355,-0.220858,-0.558312
244,2.44,5.69113,-0.431451,5.6913,-0.220963,-0.558082
245,2.45,5.72337,-0.422811,5.69595,-0.203825,-0.559403
246,2.46,5.75559,-0.46914,5.70624,-0.172984,-0.561975
247,2.47,5.74052,-0.451245,5.71171,-0.154983,-0.563422
248,2.48,5.67844,-0.466063,5.70382,-0.170843,-0.56184
249,2.49,5.61146,-0.448964,5.68398,-0.216169,-0.55759
250,2.5,5.68875,-0.434343,5.68321,-0.212705,-0.557685
251,2.51,5.64499,-0.486649,5.67386,-0.230747,-0.555849
252,2.52,5.53348,-0.451951,5.64394,-0.299786,-0.549405
253,2.53,5.60947,-0.54474,5.63465,-0.315521,-0.547689
254,2.54,5.6028,-0.506186,5.62575,-0.329866,-0.546082
255,2.55,5.72215,-0.530353,5.6424,-0.280017,-0.550239
256,2.56,5.6747,-0.544586,5.64662,-0.262463,-0.551539
257,2.57,5.69758,-0.511612,5.65471,-0.235667,-0.553688
258,2.58,5.60715,-0.537953,5.64331,-0.25827,-0.551418
259,2.59,5.56743,-0.53218,5.62607,-0.294919,-0.547861
260,2.6,5.54194,-0.477426,5.60688,-0.335511,-0.543913
261,2.61,5.61714,-0.525614,5.60625,-0.328706,-0.54419
262,2.62,5.58033,-0.485095,5.59844,-0.340022,-0.542843
263,2.63,5.61425,-0.52539,5.59888,-0.330417,-0.543367
264,2.64,5.63541,-0.524318,5.60354,-0.310501,-0.544829
265,2.65,5.60837,-0.570008,5.60202,-0.306534,-0.544876
266,2.66,5.64024,-0.529065,5.60721,-0.285892,-0.546427
267,2.67,5.46771,-0.534377,5.57703,-0.354216,-0.539992
268,2.68,5.5629,-0.575584,5.57137,-0.35951,-0.539161
269,2.69,5.5467,-0.599757,5.56356,-0.370047,-0.537853
270,2.7,5.51678,-0.583901,5.55124,-0.391585,-0.535545
271,2.71,5.61934,-0.60227,5.56173,-0.355576,-0.538394
272,2.72,5.57913,-0.605577,5.56236,-0.345098,-0.538981
273,2.73,5.44562,-0.595793,5.53625,-0.401745,-0.533538
274,2.74,5.53914,-0.578486,5.53362,-0.398294,-0.533447
275,2.75,5.4782,-0.604119,5.51935,-0.424011,-0.530734
276,2.76,5.49593,-0.625736,5.51127,-0.433599,-0.529447
277,2.77,5.47555,-0.61519,5.50066,-0.449293,-0.527601
278,2.78,5.5068,-0.650393,5.49829,-0.443976,-0.52763
279,2.79,5.50523,-0.634846,5.49613,-0.438289,-0.527698
280,2.8,5.53386,-0.652357,5.50017,-0.41723,-0.529155
281,2.81,5.54657,-0.629013,5.50611,-0.391945,-0.531014
282,2.82,5.50907,-0.701458,5.50357,-0.388504,-0.530932
283,2.83,5.42627,-0.619697,5.485,-0.42521,-0.527239
284,2.84,5.46387,-0.638695,5.47737,-0.433651,-0.526055
285,2.85,5.41909,-0.653838,5.46224,-0.460624,-0.523193
286,2.86,5.46404,-0.663158,5.45892,-0.457424,-0.523021
287,2.87,5.40206,-0.650959,5.44389,-0.483565,-0.520211
288,2.88,5.47984,-0.644082,5.44721,-0.463171,-0.521562
289,2.89,5.43519,-0.675076,5.4411,-0.466863,-0.520767
290,2.9,5.40883,-0.692388,5.43091,-0.480663,-0.519058
291,2.91,5.36611,-0.682355,5.41411,-0.510662,-0.515878
292,2.92,5.44047,-0.714657,5.41529,-0.494929,-0.516783
293,2.93,5.44912,-0.700818,5.4181,-0.475541,-0.518033
294,2.94,5.36667,-0.692826,5.40401,-0.498879,-0.515457
295,2.95,5.44539,-0.687015,5.40829,-0.475695,-0.517045
296,2.96,5.37943,-0.723697,5.39872,-0.487747,-0.515484
297,2.97,5.32038,-0.745731,5.37915,-0.524479,-0.511691
298,2.98,5.31316,-0.705639,5.36175,-0.554849,-0.508433
299,2.99,5.29736,-0.760639,5.34444,-0.584272,-0.50523
300,3,5.27412,-0.754785,5.3257,-0.616509,-0.501744
301,3.01,5.3475,-0.759043,5.32513,-0.602526,-0.502386
302,3.02,5.40097,-0.729865,5.33547,-0.561593,-0.505468
303,3.03,5.34361,-0.75039,5.33261,-0.554717,-0.505525
304,3.04,5.39672,-0.744679,5.34099,-0.519886,-0.508105
305,3.05,5.28527,-0.73801,5.32569,-0.545149,-0.505311
306,3.06,5.30355,-0.756468,5.3169,-0.553492,-0.504015
307,3.07,5.32356,-0.786899,5.3138,-0.547396,-0.504011
308,3.08,5.29244,-0.770248,5.30515,-0.555339,-0.502748
309,3.09,5.27181,-0.808594,5.29404,-0.569233,-0.500943
310,3.1,5.35602,-0.775334,5.30188,-0.535398,-0.503418
311,3.11,5.28678,-0.786282,5.29458,-0.540275,-0.502444
312,3.12,5.26545,-0.781705,5.28443,-0.552136,-0.500836
313,3.13,5.26779,-0.781562,5.27669,-0.557698,-0.499784
314,3.14,5.22244,-0.812242,5.26137,-0.582032,-0.497036
315,3.15,5.20049,-0.797433,5.24454,-0.609566,-0.493976
316,3.16,5.23849,-0.835703,5.23845,-0.609544,-0.493368
317,3.17,5.27027,-0.838833,5.23994,-0.59059,-0.494465
318,3.18,5.18797,-0.807852,5.22482,-0.61362,-0.491801
319,3.19,5.10861,-0.822436,5.19667,-0.668657,-0.486234
320,3.2,5.28193,-0.848406,5.20837,-0.622684,-0.489703
321,3.21,5.20531,-0.813719,5.20278,-0.621102,-0.489223
322,3.22,5.23349,-0.866749,5.20395,-0.60264,-0.490263
323,3.23,5.23787,-0.874056,5.20592,-0.58267,-0.491458
324,3.24,5.1623,-0.84861,5.19253,-0.601566,-0.489175
325,3.25,5.1756,-0.836544,5.18433,-0.607023,-0.488082
326,3.26,5.07552,-0.831349,5.15771,-0.658393,-0.482852
327,3.27,5.06175,-0.861449,5.13325,-0.703085,-0.478171
328,3.28,5.04872,-0.868905,5.11072,-0.741834,-0.473981
329,3.29,5.14555,-0.89043,5.11175,-0.720711,-0.47514
330,3.3,5.14001,-0.890158,5.11164,-0.702979,-0.476015
331,3.31,5.04889,-0.904427,5.09346,-0.730841,-0.472804
332,3.32,5.02023,-0.880112,5.07297,-0.763803,-0.469107
333,3.33,5.08466,-0.906486,5.0692,-0.754138,-0.469213
334,3.34,5.09412,-0.927219,5.06815,-0.737905,-0.46992
335,3.35,5.06619,-0.905254,5.06186,-0.735196,-0.469426
336,3.36,5.01666,-0.923204,5.04693,-0.754118,-0.466988
337,3.37,5.04994,-0.941614,5.0415,-0.748843,-0.466708
338,3.38,5.01564,-0.937413,5.03034,-0.758029,-0.465133
339,3.39,4.9984,-0.912984,5.01789,-0.770207,-0.463279
340,3.4,5.06623,-0.95434,5.0214,-0.742187,-0.46503
341,3.41,5.15648,-0.973463,5.04247,-0.670935,-0.470701
342,3.42,5.01004,-0.917413,5.03062,-0.6838,-0.468872
343,3.43,5.03465,-0.955522,5.02595,-0.678366,-0.468677
344,3.44,4.95823,-0.94714,5.00698,-0.708838,-0.465256
345,3.45,5.01919,-0.967881,5.00375,-0.699188,-0.465416
346,3.46,4.94018,-0.954953,4.98545,-0.727479,-0.462171
347,3.47,4.93351,-0.971129,4.96924,-0.749812,-0.459433
348,3.48,4.93544,-0.948456,4.95648,-0.76296,-0.4575
349,3.49,4.91932,-0.97409,4.94294,-0.777724,-0.455408
350,3.5,4.93473,-0.968828,4.93508,-0.777944,-0.454611
351,3.51,4.91806,-0.965445,4.92545,-0.782565,-0.453417
352,3.52,4.84025,-1.00312,4.90215,-0.821255,-0.449152
353,3.53,4.97858,-1.04488,4.91087,-0.778934,-0.45214
354,3.54,4.85717,-1.0495,4.8939,-0.801885,-0.449295
355,3.55,4.92147,-1.02103,4.893,-0.784088,-0.450095
356,3.56,4.96996,-0.968738,4.90212,-0.741684,-0.453127
357,3.57,4.83282,-0.997156,4.88232,-0.772625,-0.449601
358,3.58,4.78126,-1.02968,4.85593,-0.819295,-0.444628
359,3.59,4.88096,-1.03632,4.85438,-0.802686,-0.445304
360,3.6,4.81617,-1.02741,4.84032,-0.817779,-0.443143
361,3.61,4.90068,-1.02449,4.84585,-0.783507,-0.445409
362,3.62,4.79116,-1.00827,4.82864,-0.806932,-0.442518
363,3.63,4.89328,-1.03751,4.83511,-0.77058,-0.444982
364,3.64,4.85332,-1.00008,4.83259,-0.757624,-0.445378
365,3.65,4.74747,-1.06104,4.8095,-0.796397,-0.441131
366,3.66,4.71954,-1.04092,4.78514,-0.837395,-0.436644
367,3.67,4.79931,-1.06722,4.78128,-0.826124,-0.436821
368,3.68,4.79793,-1.04988,4.778,-0.813666,-0.437116
369,3.69,4.71072,-1.07205,4.75803,-0.843239,-0.433641
370,3.7,4.69576,-1.10298,4.73883,-0.870156,-0.430375
371,3.71,4.78616,-1.09695,4.74134,-0.842143,-0.432026
372,3.72,4.72606,-1.07902,4.73154,-0.845571,-0.430876
373,3.73,4.6641,-1.07244,4.71129,-0.875065,-0.427376
374,3.74,4.64747,-1.08365,4.69152,-0.902603,-0.424022
375,3.75,4.74683,-1.08971,4.69536,-0.870439,-0.426014
376,3.76,4.60002,-1.11152,4.66933,-0.913761,-0.421245
377,3.77,4.68256,-1.08996,4.66467,-0.902578,-0.421338
378,3.78,4.59824,-1.0898,4.64416,-0.931278,-0.417852
379,3.79,4.63099,-1.12378,4.63408,-0.933209,-0.416747
380,3.8,4.63835,-1.12553,4.62747,-0.926404,-0.416426
381,3.81,4.57806,-1.13294,4.61017,-0.946476,-0.413693
382,3.82,4.60917,-1.08481,4.6024,-0.942247,-0.413128
383,3.83,4.63242,-1.13018,4.60087,-0.922525,-0.41396
384,3.84,4.5225,-1.15869,4.57781,-0.957094,-0.409927
385,3.85,4.54575,-1.1396,4.56374,-0.968341,-0.407957
386,3.86,4.58035,-1.17749,4.55932,-0.955194,-0.408172
387,3.87,4.6398,-1.14769,4.56777,-0.910179,-0.411268
388,3.88,4.4987,-1.12979,4.54668,-0.940165,-0.407659
389,3.89,4.54579,-1.14035,4.53898,-0.935909,-0.407102
390,3.9,4.50472,-1.17069,4.52464,-0.948359,-0.405046
391,3.91,4.42007,-1.14074,4.49614,-0.995899,-0.399819
392,3.92,4.50844,-1.20468,4.49063,-0.984767,-0.399825
393,3.93,4.43628,-1.16813,4.47188,-1.00702,-0.396837
394,3.94,4.42655,-1.14458,4.45476,-1.02465,-0.394243
395,3.95,4.39552,-1.16566,4.43471,-1.04915,-0.391014
396,3.96,4.44781,-1.18565,4.42894,-1.03736,-0.391026
397,3.97,4.34774,-1.19706,4.4044,-1.07277,-0.386802
398,3.98,4.38685,-1.20053,4.39231,-1.07618,-0.385422
399,3.99,4.38772,-1.17834,4.38278,-1.0731,-0.384623
400,4,4.47128,-1.21626,4.3919,-1.02348,-0.388015
401,4.01,4.4002,-1.19854,4.38537,-1.01421,-0.387826
402,4.02,4.45443,-1.19775,4.39107,-0.974613,-0.390376
403,4.03,4.42671,-1.16799,4.3904,-0.951918,-0.391444
404,4.04,4.45881,-1.22482,4.39646,-0.912955,-0.393999
405,4.05,4.28334,-1.18558,4.36654,-0.964955,-0.388406
406,4.06,4.25072,-1.19583,4.33565,-1.01804,-0.382663
407,4.07,4.28076,-1.22851,4.31653,-1.04039,-0.379633
408,4.08,4.2502,-1.24622,4.29494,-1.06836,-0.376076
409,4.09,4.26732,-1.21479,4.28087,-1.07683,-0.374246
410,4.1,4.20893,-1.22648,4.25787,-1.10741,-0.370416
411,4.11,4.31904,-1.23836,4.26124,-1.07129,-0.37256
412,4.12,4.32008,-1.20167,4.26444,-1.03651,-0.374618
413,4.13,4.23724,-1.23273,4.25071,-1.04493,-0.372824
414,4.14,4.25834,-1.26865,4.24388,-1.03589,-0.372593
